area,contagem
Medicina,565.761
Educação,496.069
Agronomia,355.748
Administração,293.981
Ciência da Computação,282.796
Química,253.931
Engenharia Elétrica,241.248
Física,214.507
Direito,206.040
Psicologia,203.236
