area,contagem
Medicina,204.980
Agronomia,145.951
Educação,118.083
Química,116.266
Ciência da Computação,97.984
Administração,93.571
Física,86.632
Engenharia Elétrica,83.895
Odontologia,75.852
Saúde Coletiva,68.623

