no,contagem
ARTIGOS-PUBLICADOS,256150
TRABALHOS-EM-EVENTOS,246210
LIVROS-E-CAPITULOS,180734
DEMAIS-TIPOS-DE-PRODUCAO-BIBLIOGRAFICA,109210
TEXTOS-EM-JORNAIS-OU-REVISTAS,100739
ARTIGOS-ACEITOS-PARA-PUBLICACAO,64277
